[0.05221455171704292],[-0.09313817322254181],[-43.334752911196794],[0.12209479510784149],[-0.18547280132770538],[-176.1328229898619]
[0.053800467401742935],[-0.09416855126619339],[-40.59557281738323],[0.1418321579694748],[-0.1778540164232254],[-161.35024056724797]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.16404938697814941],[-0.15929436683654785],[-135.89462063675657]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.17879395186901093],[-0.13537029922008514],[-105.81425588872682]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.18639683723449707],[-0.11192407459020615],[-79.00534491836542]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.18732251226902008],[-0.08110932260751724],[-56.48782534097581]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.1819603592157364],[-0.04974212124943733],[-39.068500730046395]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.17502930760383606],[-0.02479485608637333],[-30.88386071973317]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.16941414773464203],[-0.00667900824919343],[-27.050062944224365]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.15810704231262207],[0.017550285905599594],[-24.030456824006528]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.1521148681640625],[0.03542777895927429],[-19.220500231999434]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.145964115858078],[0.056360989809036255],[-16.286198764052003]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.14128832519054413],[0.07163720577955246],[-13.312996159646639]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.13859149813652039],[0.08262878656387329],[-12.211551682173779]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.13680361211299896],[0.09148851782083511],[-11.409958177858575]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.13247016072273254],[0.10134179145097733],[-10.341962501310807]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.12785321474075317],[0.10700352489948273],[-10.950340164724048]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.1253471076488495],[0.11051272600889206],[-6.93050577117745]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.05375523120164871],[-0.0940714031457901],[-40.39450504008593],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.03230009600520134],[-0.08521409332752228],[-19.28175144836745],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.04064877703785896],[-0.08693814277648926],[-13.368104416790498],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.052013006061315536],[-0.08870852738618851],[-5.154359368554366],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.06271843612194061],[-0.08815551549196243],[1.9312313723264876],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
