[-0.16966861486434937],[-0.27338024973869324],[78.72317304503741],[0.23189672827720642],[0.24407212436199188],[-125.04214617746108]
[-0.16811347007751465],[-0.2642625570297241],[78.81091977008975],[0.23529529571533203],[0.24737673997879028],[-124.83821309201863]
[-0.16630375385284424],[-0.25475385785102844],[78.60798384891307],[0.2388594150543213],[0.2506607472896576],[-124.37769047676301]
[-0.16494272649288177],[-0.24676890671253204],[78.38856273923422],[0.24152907729148865],[0.25334522128105164],[-124.17413509185089]
[-0.1631951481103897],[-0.23688197135925293],[77.77527503880347],[0.24513448774814606],[0.25693726539611816],[-123.86408532149703]
[-0.16083233058452606],[-0.22477620840072632],[77.35613703322059],[0.24934633076190948],[0.26100897789001465],[-123.8141323111206]
[-0.158850759267807],[-0.21522538363933563],[76.81844436182259],[0.2526286840438843],[0.2644779086112976],[-123.80582707002655]
[-0.15625445544719696],[-0.20358401536941528],[76.37846760884541],[0.25719529390335083],[0.26864445209503174],[-123.2941756091291]
[-0.15407945215702057],[-0.19391672313213348],[75.92508594332617],[0.2607131600379944],[0.272333562374115],[-123.12350710565164]
[-0.15203464031219482],[-0.1845013052225113],[75.68864466789242],[0.26390984654426575],[0.2757353186607361],[-123.41276741746577]
[-0.14924202859401703],[-0.17296940088272095],[75.67076013327927],[0.2675003409385681],[0.27962905168533325],[-123.86813369345393]
[-0.1474451720714569],[-0.165129154920578],[75.84645691650972],[0.2698768675327301],[0.28199946880340576],[-123.68724642118006]
[-0.14501361548900604],[-0.15521198511123657],[75.94691902121406],[0.2730967700481415],[0.28492316603660583],[-123.17586085233359]
[-0.1429801881313324],[-0.14507292211055756],[75.93338585484261],[0.2761996388435364],[0.28805509209632874],[-122.72675537255645]
[-0.14078335464000702],[-0.1349157691001892],[75.69831807014549],[0.27949222922325134],[0.29142269492149353],[-122.31645763402882]
[-0.13802240788936615],[-0.12318340688943863],[75.49959802358178],[0.2838267683982849],[0.2954423129558563],[-121.45141638111501]
[-0.135163351893425],[-0.11165948957204819],[75.54059440096873],[0.28739723563194275],[0.2994776666164398],[-121.27931881187415]
[-0.13296592235565186],[-0.10192690789699554],[75.80889784801795],[0.2904893457889557],[0.3028120994567871],[-121.14891494430498]
[-0.13070528209209442],[-0.09217789024114609],[75.69239016195723],[0.2938011586666107],[0.30638131499290466],[-120.77188630973524]
[-0.12938055396080017],[-0.08618205040693283],[75.70888502486987],[0.2956114113330841],[0.30850815773010254],[-120.67148454491374]
[-0.08150972425937653],[0.2077808827161789],[82.016220545181],[0.370233416557312],[0.39947330951690674],[-118.49221015062781]
[-0.08053045719861984],[0.21676035225391388],[82.42476590594957],[0.37226682901382446],[0.40183180570602417],[-118.48927983388997]
[-0.07934421300888062],[0.22786395251750946],[83.11180895911474],[0.37467411160469055],[0.404857337474823],[-118.45172850987693]
[-0.0782732218503952],[0.2391582727432251],[83.64913957354972],[0.3769872784614563],[0.40776166319847107],[-118.77704845089927]
[-0.07727829366922379],[0.2506504952907562],[83.96223729483692],[0.379228413105011],[0.4107297360897064],[-119.10897254162025]
