[-0.0017117455136030912],[-0.44309964776039124],[177.58788128370395],[-0.007082169875502586],[0.1338636577129364],[-168.5834635027137]
[-0.0016998836072161794],[-0.4431285262107849],[177.59816846025524],[-0.006848917342722416],[0.1339963972568512],[-168.49899591336296]
[-0.0016984009416773915],[-0.44310957193374634],[177.58894391615968],[-0.006824016105383635],[0.13397233188152313],[-168.4788050350905]
[-0.0017204672330990434],[-0.4431156814098358],[177.58379770117392],[-0.00699260551482439],[0.13383665680885315],[-168.5584074712657]
[-0.0017003011889755726],[-0.44309815764427185],[177.59104773272693],[-0.005319689400494099],[0.1336781531572342],[-167.44691093398347]
[-0.0017022577812895179],[-0.4431127607822418],[177.59306117720587],[0.016716517508029938],[0.134355366230011],[-159.55597405838466]
[-0.0017871928866952658],[-0.44317665696144104],[177.5714599566694],[0.03010318987071514],[0.1364142745733261],[-155.63600348050144]
[-0.0017827698029577732],[-0.4431616961956024],[177.56587992097647],[0.038067370653152466],[0.13824665546417236],[-153.40616978649533]
[-0.0018705835100263357],[-0.4431981146335602],[177.64094721372751],[0.04506496340036392],[0.13999755680561066],[-151.4071037657083]
[-0.0018810105975717306],[-0.4431876540184021],[177.6402175271236],[0.05300695449113846],[0.14220519363880157],[-148.10308719953537]
[-0.001911946339532733],[-0.44317626953125],[177.63362181243494],[0.05769110471010208],[0.14362871646881104],[-146.18534194825392]
[-0.001862755510956049],[-0.4431702494621277],[177.64994929432117],[0.06385941803455353],[0.14620661735534668],[-144.88430529680411]
[-0.0018606233643367887],[-0.4431895315647125],[177.6443233174234],[0.06929841637611389],[0.1486412137746811],[-143.72025468311008]
[-0.0018583189230412245],[-0.44319188594818115],[177.64045678048117],[0.0809268057346344],[0.1544632613658905],[-141.358301617771]
[-0.0018594464054331183],[-0.44318723678588867],[177.63900369698186],[0.08626660704612732],[0.15735040605068207],[-140.22335135269864]
[-0.0018706044647842646],[-0.44315850734710693],[177.6292408699834],[0.09061069041490555],[0.1597505807876587],[-139.1046871092132]
[-0.0018755125347524881],[-0.44317513704299927],[177.63687734283658],[0.09778649359941483],[0.1640072911977768],[-137.39367573029924]
[-0.0018752878531813622],[-0.44317835569381714],[177.6362943259818],[0.10327131301164627],[0.16718605160713196],[-135.7686866362291]
[-0.0018673448357731104],[-0.44318142533302307],[177.64224047483174],[0.10821690410375595],[0.17031694948673248],[-134.85325185663828]
[-0.0018923796014860272],[-0.4431934356689453],[177.63531110646295],[0.11213993281126022],[0.1729734092950821],[-134.0893453287185]
[-0.0018580749165266752],[-0.4432075321674347],[177.64467539096808],[0.11656936258077621],[0.17625580728054047],[-133.748090322058]
[-0.0017563876463100314],[-0.4431469142436981],[177.66984485864887],[0.12088864296674728],[0.17977629601955414],[-133.2178990595151]
[-0.0017801594221964478],[-0.44313517212867737],[177.66334968828204],[0.12621967494487762],[0.18378545343875885],[-132.36476690901335]
[-0.0017951386980712414],[-0.44313228130340576],[177.65987369052326],[0.131609246134758],[0.18794935941696167],[-131.08834076885847]
[-0.0017906069988384843],[-0.4431285262107849],[177.66359687718017],[0.1356515735387802],[0.19147856533527374],[-130.3638188374583]
[-0.0017755671869963408],[-0.4431192874908447],[177.66854378310688],[0.1393825113773346],[0.1941632479429245],[-129.708016650133]
[-0.0017800293862819672],[-0.443136602640152],[177.66836535368205],[0.1426079124212265],[0.19710023701190948],[-128.9714736938447]
[-0.001778424484655261],[-0.443154513835907],[177.66509843502033],[0.14695264399051666],[0.20070572197437286],[-128.18116038770393]
[-0.0017719027819111943],[-0.44312649965286255],[177.66343118433085],[0.15257835388183594],[0.20595984160900116],[-127.30245176447015]
[-0.0017833308083936572],[-0.4431171417236328],[177.66326882185018],[0.15802648663520813],[0.21121534705162048],[-126.56124549275184]
[-0.0017954381182789803],[-0.443104088306427],[177.65361046358632],[0.1613536924123764],[0.21482719480991364],[-126.19446171373053]
[-0.0018055541440844536],[-0.44312331080436707],[177.65791329610693],[0.16556216776371002],[0.2190047800540924],[-125.91834736459994]
[-0.0017833913443610072],[-0.4431164860725403],[177.6576651478477],[0.16966494917869568],[0.22317823767662048],[-125.72272409904015]
[-0.0017775481101125479],[-0.4431379437446594],[177.66474870164961],[0.17339330911636353],[0.2268620729446411],[-125.18845041303615]
[-0.0017591342329978943],[-0.44316422939300537],[177.65242106236192],[0.17750686407089233],[0.2309456765651703],[-124.35912437592377]
[-0.001776060089468956],[-0.44313445687294006],[177.6662544220817],[0.18140947818756104],[0.23496395349502563],[-123.86174528716802]
[-0.0017769667319953442],[-0.4431285560131073],[177.65983640255882],[0.18489553034305573],[0.23875689506530762],[-123.42727682967404]
[-0.0017860521329566836],[-0.4431220591068268],[177.66060758875625],[0.18762974441051483],[0.24180743098258972],[-123.38130075316684]
[-0.0017913231858983636],[-0.44311758875846863],[177.65886590028634],[0.19079138338565826],[0.24549345672130585],[-123.14957644132326]
