[0.4751074016094208],[1.1922078132629395],[-170.03697456343528],[-1.21094810962677],[-0.5193846821784973],[-117.60995102383097]
[0.47503194212913513],[1.1922434568405151],[-170.04371146916992],[-1.2109590768814087],[-0.5193862915039062],[-117.60335647630993]
[0.47508516907691956],[1.1921886205673218],[-170.04429810074518],[-1.2109845876693726],[-0.5193577408790588],[-117.61105382843687]
[0.4750216007232666],[1.1922369003295898],[-170.03972934405],[-1.2109932899475098],[-0.5193706750869751],[-117.61459257732945]
[0.4750511348247528],[1.192249059677124],[-170.0269517452414],[-1.2110074758529663],[-0.5194141268730164],[-117.54733151381349]
[0.4750198423862457],[1.1922541856765747],[-170.05365747700566],[-1.2110646963119507],[-0.519260048866272],[-117.5915507494851]
[0.47502896189689636],[1.1922365427017212],[-170.03911613046682],[-1.2110048532485962],[-0.5192487835884094],[-117.61531092416699]
[0.4750261604785919],[1.1922365427017212],[-170.04006153772394],[-1.2110124826431274],[-0.5192500352859497],[-117.62160788927386]
[0.47503945231437683],[1.192246437072754],[-170.05120104884682],[-1.2109991312026978],[-0.5192513465881348],[-117.61384285523738]
[0.47502821683883667],[1.1922439336776733],[-170.04216117250755],[-1.2110143899917603],[-0.5192471146583557],[-117.59725640647609]
[0.4751014709472656],[1.1921837329864502],[-170.04854867224995],[-1.2112349271774292],[-0.5201011300086975],[-115.48018150936008]
[0.47503840923309326],[1.1922121047973633],[-170.0438553382785],[-1.2124693393707275],[-0.5247170329093933],[-106.90302464031538]
[0.4750828146934509],[1.1921590566635132],[-170.03578084266468],[-1.2138049602508545],[-0.530573308467865],[-99.64242738562389]
[0.47502055764198303],[1.192212700843811],[-170.03433159071415],[-1.2145034074783325],[-0.5400340557098389],[-91.0968745695845]
[0.4750801622867584],[1.1921577453613281],[-170.0382855465643],[-1.213929533958435],[-0.549895167350769],[-83.31895750547456]
[0.47502031922340393],[1.1922204494476318],[-170.0392831054414],[-1.2122728824615479],[-0.5593709945678711],[-77.43094647587871]
[0.475019633769989],[1.1922138929367065],[-170.0249991501594],[-1.2095880508422852],[-0.5673881769180298],[-71.48368922144745]
[0.4751029908657074],[1.192164659500122],[-170.03603149442355],[-1.2071932554244995],[-0.5731225609779358],[-66.78067650203347]
[0.4750273823738098],[1.192199468612671],[-170.03787727542183],[-1.2036218643188477],[-0.5795411467552185],[-61.00214092897646]
[0.47502872347831726],[1.1922178268432617],[-170.0406869382805],[-1.200279951095581],[-0.58425372838974],[-57.46229542747785]
[0.47509732842445374],[1.1921614408493042],[-170.0380918636849],[-1.1960235834121704],[-0.5898372530937195],[-53.36292162674507]
[0.4750387668609619],[1.1922093629837036],[-170.03231058659412],[-1.1918898820877075],[-0.5945797562599182],[-49.823559690894236]
[0.4750206470489502],[1.1922330856323242],[-170.04332302764698],[-1.1877509355545044],[-0.598704993724823],[-46.5133957062132]
[0.4750177264213562],[1.192210078239441],[-170.0357400952229],[-1.182381510734558],[-0.60380619764328],[-43.38116893570312]
[0.47502025961875916],[1.1922272443771362],[-170.04954724109595],[-1.1761164665222168],[-0.609372079372406],[-40.243331250880544]
[0.4750249981880188],[1.1922333240509033],[-170.04789119776405],[-1.1686517000198364],[-0.6149788498878479],[-37.39280231777759]
[0.4750162363052368],[1.1922088861465454],[-170.03563287058358],[-1.1619534492492676],[-0.6199978590011597],[-35.17119299350602]
