[-0.3756646513938904],[0.8671249151229858],[-62.787421029958786],[-0.034064821898937225],[1.2246488332748413],[-121.43394481695493]
[-0.37567904591560364],[0.8671107888221741],[-62.77916969397077],[-0.034064821898937225],[1.2246488332748413],[-121.43394481695493]
[-0.3756665289402008],[0.8671053051948547],[-62.78083001583973],[-0.034064821898937225],[1.2246488332748413],[-121.43394481695493]
[-0.37565892934799194],[0.8671042323112488],[-62.782183547953615],[-0.034064821898937225],[1.2246488332748413],[-121.43394481695493]
[-0.37562185525894165],[0.8671136498451233],[-62.79902093067627],[-0.034064821898937225],[1.2246488332748413],[-121.43394481695493]
[-0.37564635276794434],[0.8671151995658875],[-62.77445332857991],[-0.048309165984392166],[1.2281136512756348],[-120.36842406588404]
[-0.3756522834300995],[0.8671149611473083],[-62.778770892869545],[-0.05067934840917587],[1.2115545272827148],[-123.66387877673485]
[-0.3756634294986725],[0.8671135902404785],[-62.781404132139315],[-0.05346712842583656],[1.1963354349136353],[-126.81910216190488]
[-0.3756706118583679],[0.8671118021011353],[-62.78023033141905],[-0.057699054479599],[1.1755415201187134],[-131.2713268846923]
[-0.37564629316329956],[0.8671110272407532],[-62.7979663479545],[-0.06393563747406006],[1.1535955667495728],[-135.67957182846453]
[-0.37566059827804565],[0.867110550403595],[-62.79305312965255],[-0.071620874106884],[1.1305344104766846],[-140.8815201067075]
[-0.3756364583969116],[0.8671132922172546],[-62.799795967492116],[-0.08098409324884415],[1.1070746183395386],[-146.60779262128577]
[-0.37563952803611755],[0.8671184182167053],[-62.79630683439053],[-0.09163384139537811],[1.0838265419006348],[-152.89975207166793]
[-0.37565237283706665],[0.8671242594718933],[-62.785201725329266],[-0.10854309797286987],[1.0534989833831787],[-161.9598424859308]
[-0.37567052245140076],[0.8671250343322754],[-62.7837998632529],[-0.11778216063976288],[1.0382846593856812],[-168.3378028665656]
[-0.37567347288131714],[0.8671213984489441],[-62.782897022581196],[-0.1284630000591278],[1.023436427116394],[-175.28107836576658]
[-0.37565264105796814],[0.8671121597290039],[-62.80160195982864],[-0.1355372965335846],[1.013665795326233],[-179.96215459318304]
[-0.37565094232559204],[0.8671124577522278],[-62.799101340835485],[-0.13815359771251678],[1.01008141040802],[178.3529223802101]
[-0.3756352961063385],[0.867112398147583],[-62.796207387102704],[-0.13624700903892517],[1.0118343830108643],[179.8581854385305]
[-0.3756581246852875],[0.8671088218688965],[-62.78026685508317],[-0.12849180400371552],[1.020085096359253],[-172.85730843431713]
[-0.37564995884895325],[0.867119550704956],[-62.7839529595824],[-0.1196107342839241],[1.030776023864746],[-165.98286781016367]
[-0.3756590783596039],[0.8671151399612427],[-62.78254624766982],[-0.10988162457942963],[1.0434489250183105],[-161.4097397303208]
[-0.37564343214035034],[0.867132842540741],[-62.788350695969115],[-0.10206764936447144],[1.054601788520813],[-159.45134600641563]
[-0.37566331028938293],[0.867112398147583],[-62.78423459526085],[-0.09207478165626526],[1.0707839727401733],[-157.95932658711178]
[-0.3756673336029053],[0.8671090006828308],[-62.78256554132148],[-0.07349774986505508],[1.1073077917099],[-151.63472539158312]
[-0.375644713640213],[0.8671131134033203],[-62.79872282143687],[-0.06416979432106018],[1.130402684211731],[-147.0572961880056]
[-0.3756517469882965],[0.8671115040779114],[-62.77865981734667],[-0.053748514503240585],[1.163825273513794],[-140.85114805280935]
[-0.37565839290618896],[0.8671131730079651],[-62.77922656343924],[-0.04920468106865883],[1.187523603439331],[-136.65230111995325]
[-0.3756592869758606],[0.8671134114265442],[-62.78043901490911],[-0.046820931136608124],[1.2109103202819824],[-132.44064226401485]
[-0.3756505250930786],[0.8671080470085144],[-62.7828374484098],[-0.047361403703689575],[1.2420705556869507],[-126.16354842047554]
[-0.3756652772426605],[0.8671138882637024],[-62.77059295267228],[-0.04917638376355171],[1.2586886882781982],[-122.90414592291137]
[-0.3756673336029053],[0.867108941078186],[-62.77580582243661],[-0.05323408171534538],[1.2767250537872314],[-119.24400265344352]
[-0.37566816806793213],[0.8671095371246338],[-62.781135794554004],[-0.054185446351766586],[1.280003547668457],[-118.56193860406233]
[-0.3756628930568695],[0.8671266436576843],[-62.785507846148185],[-0.054185446351766586],[1.280003547668457],[-118.56193860406233]
[-0.37565574049949646],[0.8671238422393799],[-62.78890189946952],[-0.054185446351766586],[1.280003547668457],[-118.56193860406233]
[-0.3756493926048279],[0.8671126961708069],[-62.783691638924445],[-0.054185446351766586],[1.280003547668457],[-118.56193860406233]
[-0.37565135955810547],[0.867112398147583],[-62.78170531947529],[-0.054185446351766586],[1.280003547668457],[-118.56193860406233]
[-0.3756294846534729],[0.8671107292175293],[-62.799707062550745],[-0.054185446351766586],[1.280003547668457],[-118.56193860406233]
[-0.3756658434867859],[0.8671063780784607],[-62.782570604794095],[-0.054185446351766586],[1.280003547668457],[-118.56193860406233]
[-0.3756629228591919],[0.8671104907989502],[-62.78149188985563],[-0.054185446351766586],[1.280003547668457],[-118.56193860406233]
[-0.3756680488586426],[0.8671252727508545],[-62.77418518717234],[-0.07456070184707642],[1.2303470373153687],[-122.77422262962853]
[-0.3756501376628876],[0.867114245891571],[-62.781877438371964],[-0.0766206681728363],[1.2019493579864502],[-127.88607401383193]
[-0.3756272494792938],[0.8671113848686218],[-62.79942927939813],[-0.08058470487594604],[1.1785695552825928],[-132.42206266164462]
[-0.37564972043037415],[0.8671097755432129],[-62.78588489848293],[-0.08795908093452454],[1.1492687463760376],[-137.85407855271737]
[-0.37563201785087585],[0.8671116828918457],[-62.79971965282771],[-0.09795282781124115],[1.1201066970825195],[-143.2943223536136]
[-0.37563657760620117],[0.8671128153800964],[-62.801012184126364],[-0.10823120921850204],[1.097074270248413],[-147.90265666514688]
[-0.37563326954841614],[0.8671172261238098],[-62.79963248835563],[-0.12252596765756607],[1.070237159729004],[-154.07352944853443]
[-0.37566110491752625],[0.8671154975891113],[-62.77923473938231],[-0.14098410308361053],[1.0418870449066162],[-159.79175132756865]
[-0.3756505846977234],[0.8671286702156067],[-62.7837525998302],[-0.15676350891590118],[1.0219931602478027],[-164.27652186530165]
[-0.3756316304206848],[0.8671094179153442],[-62.79475439356482],[-0.17529407143592834],[1.000780701637268],[-170.1386372137552]
[-0.37563666701316833],[0.8671005368232727],[-62.79996555861667],[-0.18441887199878693],[0.9914317727088928],[-173.55093215826273]
[-0.37563517689704895],[0.8671030402183533],[-62.79625697388438],[-0.19002021849155426],[0.9874898195266724],[-174.90649305094266]
[-0.37566399574279785],[0.8671229481697083],[-62.78418538822289],[-0.1874479353427887],[0.9912334084510803],[-172.17044822166793]
[-0.37566858530044556],[0.8671296834945679],[-62.78407730472649],[-0.17964664101600647],[1.000829815864563],[-167.72390659911179]
[-0.37562763690948486],[0.8671194314956665],[-62.79618723318954],[-0.16415157914161682],[1.0218242406845093],[-162.33983928139563]
[-0.37563231587409973],[0.8671106100082397],[-62.796369184276],[-0.14187537133693695],[1.0574257373809814],[-157.0382222482933]
[-0.3756386935710907],[0.8671126365661621],[-62.79870476556748],[-0.12931495904922485],[1.0829068422317505],[-152.0887496743245]
[-0.3756473958492279],[0.8671144247055054],[-62.791913503527816],[-0.11848365515470505],[1.1111807823181152],[-146.24889712898397]
[-0.375667005777359],[0.8671138882637024],[-62.77542553090871],[-0.1102692037820816],[1.14125657081604],[-140.61596235082254]
[-0.37566298246383667],[0.8671172261238098],[-62.780988483899655],[-0.10679250955581665],[1.1655499935150146],[-135.63620343056436]
[-0.37565505504608154],[0.8671159148216248],[-62.77764215113678],[-0.1064455509185791],[1.195127248764038],[-128.15705150180884]
[-0.3756570518016815],[0.8671179413795471],[-62.7827474811401],[-0.11056452989578247],[1.2218811511993408],[-121.29821554486233]
[-0.3756343126296997],[0.8671128153800964],[-62.800192457546586],[-0.11631197482347488],[1.2398611307144165],[-116.62945656168228]
[-0.37564629316329956],[0.8671091198921204],[-62.78239802049875],[-0.11631197482347488],[1.2398611307144165],[-116.62945656168228]
[-0.37565451860427856],[0.8671143651008606],[-62.78283357672673],[-0.11631197482347488],[1.2398611307144165],[-116.62945656168228]
[-0.3756566643714905],[0.8671137690544128],[-62.7825626731263],[-0.11631197482347488],[1.2398611307144165],[-116.62945656168228]
[-0.375638872385025],[0.8671138882637024],[-62.80246696289484],[-0.11631197482347488],[1.2398611307144165],[-116.62945656168228]
[-0.37566033005714417],[0.8671126365661621],[-62.782114056377914],[-0.11631197482347488],[1.2398611307144165],[-116.62945656168228]
[-0.3756585717201233],[0.8671091794967651],[-62.77817341874614],[-0.11631197482347488],[1.2398611307144165],[-116.62945656168228]
[-0.37565308809280396],[0.8671096563339233],[-62.77780255519669],[-0.11631197482347488],[1.2398611307144165],[-116.62945656168228]
[-0.37563592195510864],[0.8671167492866516],[-62.79292675330465],[-0.11631197482347488],[1.2398611307144165],[-116.62945656168228]
[-0.3756559491157532],[0.8671063780784607],[-62.78151050014452],[-0.11631197482347488],[1.2398611307144165],[-116.62945656168228]
[-0.37565720081329346],[0.8671071529388428],[-62.78198123079743],[-0.2820628881454468],[1.2537612915039062],[-83.93166390586438]
[-0.375663697719574],[0.8671138286590576],[-62.78134142592726],[-0.29609066247940063],[1.2453029155731201],[-82.83178732947584]
[-0.3756633400917053],[0.8671186566352844],[-62.78160604531514],[-0.3140854835510254],[1.2355016469955444],[-81.42664935224609]
[-0.37565746903419495],[0.8671241402626038],[-62.783604309073645],[-0.32697349786758423],[1.2279952764511108],[-80.59655833906848]
[-0.37566301226615906],[0.8671090006828308],[-62.78207826270027],[-0.3435728847980499],[1.218275547027588],[-79.82394048618653]
[-0.37565135955810547],[0.86709064245224],[-62.792315424223354],[-0.3560555577278137],[1.2116334438323975],[-77.59934185371004]
[-0.3757365345954895],[0.8668299317359924],[-62.74428045354717],[-0.3692721128463745],[1.2032614946365356],[-76.13105787629951]
