[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553730487823486],[0.969770073890686],[-135.47051231964235]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553744196891785],[0.9697669744491577],[-135.46747711363054]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553748369216919],[0.9697710275650024],[-135.46924014958702]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955374002456665],[0.969765841960907],[-135.4691747045028]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955377995967865],[0.9697700142860413],[-135.47112733417922]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553660154342651],[0.9697686433792114],[-135.46561543669196]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9554241895675659],[0.9697311520576477],[-135.48714104572966]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955425500869751],[0.9697316288948059],[-135.4880232180402]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553661942481995],[0.9697700142860413],[-135.4694028802175]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955367922782898],[0.969767153263092],[-135.46961290218198]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553751945495605],[0.9697725772857666],[-135.46500286683224]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955380380153656],[0.9697852730751038],[-135.4717878020094]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553832411766052],[0.9697827100753784],[-135.46416204300144]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553790092468262],[0.9697800278663635],[-135.46791651878038]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553563594818115],[0.9697906970977783],[-135.47762635021272]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9554376006126404],[0.9697307348251343],[-135.48425265155572]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553769826889038],[0.9697663187980652],[-135.47139018578684]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9554113149642944],[0.9697515368461609],[-135.49444043784183]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.955367386341095],[0.969775378704071],[-135.4674115151334]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553731679916382],[0.9697726964950562],[-135.47137355651085]
[-0.9867479801177979],[2.076528549194336],[105.3830028030418],[0.9553682208061218],[0.96977299451828],[-135.47061915802544]
